Tweet ID,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
0,211040709124440064,#Intern #US #TATTOO #Wisconsin #Ohio #NC #PA #Florida #Colorado #Iowa #Nevada #Virginia #NV #mlb Travel Destinations---&gt;http://t.co/TIHBJKF2,Not labeled,Not labeled,Not related
1,211111710294163457,RT @Jack4Ward: Get in on the fun every Thursday with the @csindependent #FunBrief http://ow.ly/br9Wi #CoSprings #Colorado,Not labeled,Not labeled,Not related
2,211157222699433985,Welcome to our newest STUDENTathlete- Reagan Biechler from Colorado Springs (CO) ’13- Baseball. http://t.co/lzeiYMpq,Not labeled,Not labeled,Not related
3,211162553659830272,Denver Post: #Colorado governor signs bill creating rules for public access to ballots http://t.co/Hmp1wQ8P #opengov,Not labeled,Not labeled,Not related
4,211216962162933761,"Pretty sure I'm going to live in Manitou Springs, CO someday. Maybe live here and work in Colorado Springs?? #theplan",Not labeled,Not labeled,Not related
5,211229146611843072,Flying over the beautiful snow capped #mountains of #colorado #livingsocial #iphonesia #hdr #instagood  http://t.co/tCgmQ2xI,Not labeled,Not labeled,Not related
6,211232623706640384,It isn't a beach but just as great #colorado #summer  http://t.co/NPi5wJ9n,Not labeled,Not labeled,Not related
7,211281973870727170,#colorado. Told you its #amazing http://t.co/6z0Qq7qe,Not labeled,Not labeled,Not applicable
8,211333983269695488,RT @xRedRoverx: #Colorado #news #crime 3 bodies found in La Plata County Friday | http://t.co/BNPYWOBu http://t.co/iLUtRFED via @9news,Not labeled,Not labeled,Not related
9,211380242227539968,checkmate payday loans colorado springs http://t.co/8pSlcpVV,Not labeled,Not labeled,Not related
10,211437603529039872,"Free #HTC #Wildfire S, 250 minutes, 5,000 texts and 500MB data for only £7.50 per month at #Carphone.. #deals http://t.co/jpvMwt6r",Not labeled,Not labeled,Not related
11,211490716004777984,Wildly popular Tough Mudder adventure race gives #Colorado ski areas some summertime crowds: http://t.co/Lyj5MxDC,Not labeled,Not labeled,Not related
12,211511062573490177,day 9- your view. there's no other view like one on top of a mountain. i miss camp so much. #colorado  http://t.co/3RaO8P7b,Not labeled,Not labeled,Not related
13,211545661387194369,#Colorado http://t.co/PIEZEJM8,Not labeled,Not labeled,Not related
15,211561134187225089,The Champ http://t.co/FzYGdD4O Statue Pro Rodeo Hall Of Fame Colorado Springs #photo #statue #Rodeo,Not labeled,Not labeled,Not related
17,211571531841675265,Frontier Ranch here I come!!!! #timetodrive24hours #tooexcitedtobebored #Colorado @Rochelleee24 @YoungLifeCRHS,Not labeled,Not labeled,Not related
18,211601680507207681,Normal people watching horse related programming today are watching the Belmont Stakes. @Lilah86 is watching #Wildfire.,Not labeled,Not labeled,Not related
20,211610941526253568,The only good thing about driving down Arapahoe road... The view. #Colorado,Not labeled,Not labeled,Not related
29,211797818766131200,#Colorado #Canada #NewMexico #Arkansas #Laredo #Strongsville #world #news #Georgia #Louisiana #Hawaii  Gossip---&gt;http://t.co/qXvuajVY,Not labeled,Not labeled,Not related
