,Unnamed: 0,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
0,0,211565974422425600,#Evacuation center Cache La Poudre Middle School 3515 West County Road 54G in Laporte. #Colorado #Wildfire,Government,['Official'],Related and informative
1,1,211654415503990784,FEMA has authorized the use of federal funds to help with firefighting costs for the #HighParkFire. http://t.co/whxlpPEP,Government,['Official'],Related and informative
2,2,211685621125742592,RT @LarimerSheriff: #HighParkFire update http://t.co/hBy5shen,Government,['Official'],Related - but not informative
3,3,211790625530593282,"New #HighParkFire Evacs: 474 evac notices S &amp; W of Bellvue includes Lory State Park, Redstone Canyon &amp; Buckhorn Rd to Stove Prairie School",Government,['Official'],Related and informative
4,4,211848238465159170,"According to Gov Hickenlooper, One third of all fire retardant equipment in the country is here in Larimer County. #highparkfire",Government,['Official'],Related and informative
5,5,211877049147736064,RT @KyleLSaunders: Just some perspective: 14000 acres = 21.87500 sq mi #highparkfire; @LarimerSheriff notes still 0% containment--so sco ...,Government,['Official'],Related and informative
6,6,211936520179945472,"#HighParkFire trying to get more of all resources.. air, ground crews, military assistance.. competing for fire resources due to other fires",Government,['Official'],Related and informative
7,7,212032414564880384,"#LarimerCounty Colorado, #HighParkFire Map of fire: http://t.co/Dkm0JXmF",Government,['Official'],Related and informative
8,8,212221690904723458,Great info on how to help #people and #pets http://t.co/oawrZZoK via @ColoradoStateU #HighParkFire #cofire,Government,['Official'],Related and informative
9,9,212231891477217283,RT @LarimerCounty: Map of #HighParkFire as of 00:20 this morning. http://t.co/5NcEjnop,Government,['Official'],Related and informative
10,10,212245812367982592,Photo of the Colorado wildfire from space (via @NASA) http://t.co/AWCRkwr2 #HighParkFire #FortCollins #Highpark #Lemay via @michaelhayes,Government,['Official'],Related and informative
11,11,212298127925977088,"Damage Assessment teams for #HighParkFire being assembled to determine what' structures have been burned, damaged or untouched.",Government,['Official'],Related and informative
12,12,212552097219100673,"Pre-evacuation notice for part Glacier View CR74E, S &amp; E of McNay Hill. Hewlett Gulch Road, Deer Meadow Way, Gordon Creek Lane #HighParkFire",Government,['Official'],Related and informative
13,13,212552860590813184,RT @dhorning11: RT @LarimerCounty: #HighParkFire burn area map as of Monday night 10 p.m. http://t.co/1guBTcXX,Government,['Official'],Related and informative
14,14,212559890248499200,"RT @LarimerSheriff: #HighParkFire now at 43,433 acres with some containment.  500 firefighters will be working today.",Government,['Official'],Related and informative
15,15,212615137604018177,RT @LarimerSheriff: #HighParkFire evacuation orders issued for Pingree Park area.  25 notifications sent http://t.co/oSmxBfqJ,Government,['Official'],Related and informative
