,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
0,211565974422425600,#Evacuation center Cache La Poudre Middle School 3515 West County Road 54G in Laporte. #Colorado #Wildfire,Government,['Advice'],Related and informative
1,211681309368655872,Large wildfire in northern Colorado prompts evacuations - Fox News: CBS NewsLarge wildfire in northern Colorado ... http://t.co/BvG6xSRH,Media,['Advice'],Related and informative
2,211958091485417473,RT @HumaneSociety: If you are evacuating please don't wait - take your pets when you evacuate!  #highparkfire #wildfire,NGOs,['Advice'],Related and informative
3,211964198396231680,RT @HumaneSociety If you are evacuating please don't wait - take your pets when you evacuate! #highparkfire #wildfire #COwx,NGOs,['Advice'],Related and informative
4,211964315853524993,"RT @HumaneSociety: Crystal Mtn Road, Upper Buckhorn, leave NOW! Take pets! Burn pattern of #HighParkFire could cut off exit via @Larimer ...",NGOs,['Advice'],Related and informative
5,212552097219100673,"Pre-evacuation notice for part Glacier View CR74E, S &amp; E of McNay Hill. Hewlett Gulch Road, Deer Meadow Way, Gordon Creek Lane #HighParkFire",Government,['Advice'],Related and informative
6,212615137604018177,RT @LarimerSheriff: #HighParkFire evacuation orders issued for Pingree Park area.  25 notifications sent http://t.co/oSmxBfqJ,Government,['Advice'],Related and informative
7,212617322836398080,RT @BreakingNews: Evacuation order issued in Colorado's High Park Fire - @LarimerSheriff http://t.co/HuSEbG39,Media,['Advice'],Related and informative
8,213348184506908673,RT @LarimerSheriff: #HighParkFire Another evacuation area notice has been lifted. Please check out link http://t.co/KXPBivpb,Government,['Advice'],Related and informative
9,213689735082807296,"#HighParkFire info on #LarimerCounty webpage. A lot of advice about prepping for a fire, safety lists, evacuation checklists, structure maps",Government,['Advice'],Related - but not informative
10,214425449537867776,"#HighParkFire UPDATE: Re-Evacuations being announced for Hwy 14, east of Seaman Reservoir.",Government,['Advice'],Related and informative
11,214426300994162688,"RT @coloradoan: #HighParkFire UPDATE: Re-Evacuations being announced for Hwy 14, east of Seaman Reservoir.",Media,['Advice'],Related and informative
12,216215452685312001,"RT @KUNC: #HighParkFire: 60% Containment, Red Flag Conditions Concern Firefighters http://t.co/UU7mukPJ",Media,['Advice'],Related and informative
13,216270809101115393,RT @KUNC: #HighParkFire: New Evacuations Ordered http://t.co/in9sygXF,Media,['Advice'],Related and informative
14,216305818927251456,RT @tri1025: RT @LarimerSheriff: #HighParkFire Residents of Red Feather Lakes and Crystal Lakes need to use Cherokee Park Road (CR 80C)...,Government,['Advice'],Related and informative
15,216651878400929792,RT @aradia53: COFires: 1 in Colorado Springs area is #WaldoFire . 1 in Estes Park is #WoodlandHeights fire. Another near Leadville is #N ...,Media,['Advice'],Related and informative
16,216983274558464000,RT @thecreativeeye @tryonb @springsgov: CSPD is closing Palmer Park Colorado Springs. Big gatherings = high fire risk http://t.co/on47EM7K,Media,['Advice'],Related and informative
17,216984293770141696,Colorado Springs POLICE are closing PALMER PARK as a PRECAUTION ONLY!!!!! #WaldoCanyonFire,Government,['Advice'],Related and informative
18,217680296563326978,#WaldoFire Pre evacuation area has been expanded for the Woodland Park area  per text from #TCSO,Media,['Advice'],Related and informative
19,217681479365439488,RT @HumanityRoad: #Colorado Residents sign up county alerts at http://t.co/kMsMx3qu #Redflag warnings #http://www.crh.noaa.gov/gjt/ #hmrd,Government,['Advice'],Related and informative
20,217751033483493376,RT @KDVR: Pre-evacuation notice for the city of #Boulder http://t.co/dwzKlbok #flagstafffire,Media,['Advice'],Related and informative
21,217757136225173506,"RT @HuffingtonPost: New 200-300 acre fire burning in Boulder, Colo. prompts evacuations #FlagstaffFire http://t.co/xaGkym1Z",Media,['Advice'],Related and informative
22,217782473998864384,RT @brookejarvis: Colorado's on fire. Livestream of the fire prompting evacuation warnings in Boulder: http://t.co/8P7iV5Ec #flagstafffi ...,Media,['Advice'],Related and informative
23,217804296966778882,RT @boulderparksrec: Open water swim at the reservoir cancelled tomorrow (6/27) due to smoke in the area. #FlagstaffFire,Government,['Advice'],Related and informative
24,217805836267962370,"RT @ryanmunyan: “@bretstrelow: Colorado Springs fire approaching Air Force football stadium. This pic, just wow http://t.co/eBm5uC8A” un ...",Media,['Advice'],Related and informative
25,217811985134395392,"NEW! RT @denverpost: ALERT: 32,000 people evacuated in Colorado Springs due to #WaldoCanyonFire: http://t.co/x1hlkls4",Media,['Advice'],Related and informative
