Tweet ID,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
64,212169203422199808,RT @HumaneSociety: Every crew out there is risking their life. Our thoughts are with all of them #highparkfire,Outsiders,Sympathy and support,Related - but not informative
65,212176367289253888,"Pray for rain! RT @LarimerSheriff: #HighParkFire is now at 36,930 acres.",Outsiders,Sympathy and support,Related and informative
66,212185569588035585,RT @HumaneSociety: we'll second that! RT @nalowry: Shout out to all local news agencies keeping people updated on the #highparkfire,NGOs,Sympathy and support,Related and informative
77,212227898512388096,RT @danbaileyphoto: Best wishes to all of my Northern Colorado friends who are in the path of the out of control High Park Fire.,Outsiders,Sympathy and support,Related - but not informative
80,212231669170716672,MT @KyleClark: Please keep #HighParkFire firefighters in your thoughts/prayers. Difficult day looms for them.,Outsiders,Sympathy and support,Related - but not informative
85,212242754703601664,"Sending lots of positive thoughts to Larimer County, Fort Collins and the people affected by the #HighParkFire",Outsiders,Sympathy and support,Related - but not informative
120,212590940664238080,"RT @katelynburkhart: praying for the people, animals and entire communities affected by this #highparkfire. truly unreal.",Outsiders,Sympathy and support,Related - but not informative
121,212595864772952064,@KateWilson0605 thanks! I just built it fast as I didn't have much time! God bless you! #HighParkFire,Outsiders,Sympathy and support,Related - but not informative
122,212604953846480896,It is doingsome raining #onthefarm!!!   LORD send of this to put out the fires in Colorado.  #Thrutheflames safety!!!   #BelovedofGOD,Outsiders,Sympathy and support,Related - but not informative
134,212670988956090371,"Is support of those fighting the fire in northern Colorado, we say THREE CHEERS FOR FIRE FIGHTERS! Here's a view... http://t.co/UIb2fSdj",Outsiders,Sympathy and support,Related and informative
234,214230229852495872,RT @ashleytrailrun: wishes all dads fighting the #highparkfire a happy father's day; also the evacuated dads who'll spend tomorrow comfo ...,Outsiders,Sympathy and support,Related - but not informative
237,214350006621192192,What a week it's been!  #highparkfire you better behave today.  http://t.co/LAn96lrY,Outsiders,Sympathy and support,Related - but not informative
