Tweet ID,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
78,212228347286130689,"Due to Colorado wildfires, the trip is cancelled. So instead we will be driving through Nevada, and going to California.",Outsiders,Not applicable,Related and informative
169,213103874708471808,Airstrip in Colorado Springs.,Outsiders,Not applicable,Related - but not informative
548,217810777149677569,Man. You would swear Colorado was on fire.....,Outsiders,Not applicable,Related - but not informative
650,217926992950071296,RT @EdelmanDiana: I want to apologize to the state of Colorado for being so hot and starting all these fires #mybad,Outsiders,Not applicable,Related - but not informative
873,218337309123280898,"RT @CitizenRadio: THE BIG ANNOUNCEMENT, #Colorado is on fire, Louis C.K. scares the crap out of suits everywhere http://t.co/7cfIxKJ6 #C ...",Media,Not applicable,Related - but not informative
958,218585477706551296,RT @JustCindeh: HAHAHAHAHAHA!!!!!!! RT @word_34  Michelle Malkin's mouth is foaming so bad she could almost put out the Colorado wildfires.,Outsiders,Not applicable,Related - but not informative
1067,219714798252859392,@LeleiTaha LMAO...Ahah lucky...we cant do any here because of the Fires going on..in colorado..,Eyewitness,Not applicable,Related - but not informative
1111,220244903735738368,"Wed Night:Wednesday Night Mostly cloudy,Low around 66.Southwest wind 5 to 7 mph be safe &amp; smart #Utah #4thOfJuly #fireworks #Wildfire",Not applicable,Not applicable,Related and informative
1123,220330253652987904,In Vail Colorado having a blast!!! Hope the wildfires don't spread to where I'm staying!!!:/,Outsiders,Not applicable,Related - but not informative
1139,220588966703931392,RT @Taylormaatman: Would rather watch #Wildfire on the Hudson this #July4th than fireworks !! @GameOfThrones,Outsiders,Not applicable,Related - but not informative
1320,243363680916488192,"costa rica earthquake 7,9SR",Outsiders,Not applicable,Related and informative
1428,243366755337117697,"wn, en que minuto hubo terremoto en Costa Rica?? O__o",Outsiders,Not applicable,Related - but not informative
1539,243370479845515268,No hubo un terremoto en costa rica hace unos dias? O es esto un dejavu? :/,Outsiders,Not applicable,Related - but not informative
1625,243375143945117696,Si es la Placa de Nazca... Puede ser que mueva la tierra aca en Chilito? #Terremoto en #CostaRica,Outsiders,Not applicable,Related - but not informative
1668,243377807307190272,@AffiliateDesire Poor Quality Footage of Costa Rican Earthquake - Sept 5th 2012 http://t.co/fqZodBMJ,Outsiders,Not applicable,Related - but not informative
1737,243384488820887552,http://t.co/9knIr8Ie #temblorcr,Not applicable,Not applicable,Related and informative
1746,243385902301335552,Por #temblorcr olvidé que hoy es miércoles de manga :D,Outsiders,Not applicable,Related - but not informative
1788,243392294433222656,#Humor #TemblorCR http://t.co/GcwCyIfe,Outsiders,Not applicable,Related - but not informative
1804,243395779908231169,RT @jomugil: ya me dio hambre de ansiedad #temblorcr,Outsiders,Not applicable,Related - but not informative
1819,243398351020752896,RT @elVolcanArenal: Grietas en el camino al Castillo #nortenlinea #temblorcr @RadioSantaClara  http://t.co/WWlaNBlz,Media,Not applicable,Related - but not informative
1839,243405674258771968,RT @elVolcanArenal: Yo no fui #temblorcr,Outsiders,Not applicable,Related - but not informative
1864,243410850050891777,"RT @felipezarate: Playa Ostional Guanacaste, luego del #TemblorCR de 7.6, 05/09/2012 Fuente: http://t.co/X69XeHQV http://t.co/FulLKgCC",Outsiders,Not applicable,Related and informative
1904,243431389553373185,"“@TicoRick: Si este fue el famoso Terremoto de Nicoya... Que bueno que fue así, sin daños ni tantas muertes! #TerremotoCr” +1000",Eyewitness,Not applicable,Related - but not informative
1911,243434875007406080,RT @INF_ENFURECIDO: CONFIRMAN QUE LAS CAUSAS DEL TERREMOTO DE COSTA RICA SON MAYAS HACIENDO PRUEBAS PARA DICIEMBRE,Not applicable,Not applicable,Related - but not informative
1929,243447646684069889,Para los que no han visto el vídeo de Amelia Rueda en el #temblorCR http://t.co/jEp3i7ne,Outsiders,Not applicable,Related and informative
1931,243449668338597889,"how stupid for our country to only trend when there's an earthquake! Viva Costa Rica, bitches!!!!!! #CostaRicaEarthquake",Outsiders,Not applicable,Related - but not informative
1971,243493821747429377,Terremoto en Costa Rica? O temblorsito?,Outsiders,Not applicable,Related - but not informative
1996,243529410421063680,Hubo terremoto en Costa Rica .! O:,Outsiders,Not applicable,Related and informative
