,Unnamed: 0,Unnamed: 0.1,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
0,0,0,211889384608374785,RT @HumaneSociety: .@winecountrydog it is still open to large animals just not people #highparkfire,NGOs,['Volunteer'],Related - but not informative
1,1,1,211910322582335488,@alan_arnette Moore Animal Hosptal in FC offering free small animal boarding and pick up for #highparkfire evacuees. 970-560-0452 for info.,Business,['Volunteer'],Related and informative
2,2,2,211931512180965378,"RT @TigerAngel2: RT @HumaneSociety: Not affected by #highparkfire? Help @LarimerHumane by donating wet dog/cat food, or on their site ht ...",NGOs,['Volunteer'],Related and informative
3,3,3,212058314387881985,#offer @nocok9cop We can take in a couple or small family + pets at our house for evacuees of #highparkfire - #loc live in Windsor.,Outsiders,['Volunteer'],Related and informative
4,4,4,212197095518633984,@wind4me Great point. Did see a request for tankers form Canada to aid has been made. #HighParkFire,Outsiders,['Volunteer'],Related and informative
5,5,5,212242750534451200,RT @SMEM911: RT @nocoredcross: #HighParkFire @RedCrossDenver @NoCORedCross People who want to volunteer may call 211 to be put on a wait ...,NGOs,['Volunteer'],Related and informative
6,6,6,212298199229149184,"RT @CBSDenver #HighParkFire continues to have multiple heads, or fronts firefighters are working. Some homes found not burned in fire area",Media,['Volunteer'],Related and informative
7,7,7,213275195224494080,"RT @paterosbrew: #HighParkFire fundraiser THIS SATURDAY, from 11-2. With @TheWaffleLab and many others, so stay tuned for more details.",Business,['Volunteer'],Related and informative
8,8,8,213336062980915200,"RT @LarimerCounty #HighParkFire website containing fire info, maps, Disaster Recovery Center details http://t.co/DrqfMMvO #cofire #smem",Government,['Volunteer'],Related and informative
9,9,9,213702829674741761,RT @COEmergency: #HighParkFire Disaster Recovery Center opened this morning at CSU Johnson Hall to bring together resources. http://t.co ...,Government,['Volunteer'],Related and informative
10,10,10,213748442739118080,RT @COEmergency: Want to donate to #HighParkFire families? Go to http://t.co/lo57JOy8,Government,['Volunteer'],Related - but not informative
11,11,11,214490071183802368,High Park Fire: Kansas &amp;amp; Nebraska National Guards Support Colorado http://t.co/QRuKUrFj via @youtube [Like it? http://t.co/wHLz1XYp ],Government,['Volunteer'],Related and informative
12,12,12,215138435093110784,RT @COEmergency: Items needed for #HighParkFire Donation Center.  http://t.co/FlNhdClR,Government,['Volunteer'],Related and informative
