Tweet ID,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
32,211877049147736064,RT @KyleLSaunders: Just some perspective: 14000 acres = 21.87500 sq mi #highparkfire; @LarimerSheriff notes still 0% containment--so sco ...,Government,Infrastructure and utilities,Related and informative
51,212002932818841602,"RT @9NEWS: #HighParkFire press conference: 20,000 acres, 0 containment, Type 1 Incident Command takes over tomorrow",Media,Infrastructure and utilities,Related and informative
62,212137133736075264,Homes at risk from Colorado wildfire: Hundreds of families took refuge early Monday at a northern Colorado ... http://t.co/OoYTzBfx #CNN,Media,Infrastructure and utilities,Related and informative
67,212189675786477569,"RT @denverpost: Colorado wildfire: High Park Fire in Larimer County now up to 36,000 acres burned http://t.co/JndQLSTU",Media,Infrastructure and utilities,Related and informative
72,212202460046049280,"“Latest info: 36,930 acres, 18 structures damaged, 1 person missing. All stories and updates here: http://t.co/K0uRXxle #HighParkFire”",Media,Infrastructure and utilities,Related and informative
87,212298127925977088,"Damage Assessment teams for #HighParkFire being assembled to determine what' structures have been burned, damaged or untouched.",Government,Infrastructure and utilities,Related and informative
96,212365530391252993,"The High Park fire west of Fort Collins, #CO has consumed 36,930 acres so far, is 0% contained and continues to grow. #NWS #cowx #cofire",Media,Infrastructure and utilities,Related and informative
129,212632141304041473,"So sad! 43,000 acres, 5% contained, 500 firefighters...100 homes destroyed, 1 dead. #wildfire #HighParkFire http://t.co/fpyUydUg",Media,Infrastructure and utilities,Related and informative
137,212692916794163200,"Beyond the trauma of losing a home, the #HighParkFire is going to take a chunk out of property tax revenue. http://t.co/l8vX6mAF",Media,Infrastructure and utilities,Related and informative
187,213373622943891457,"Homeowners from the Stratton Park, Pine Acres/ parts of Poudre Canyon have been notified that their homes have been destroyed. #HighParkFire",Media,Infrastructure and utilities,Related and informative
190,213391209673134080,"#HighParkFire has burned about 73 square miles. Washington, DC measures 68 square miles. NASA photo t.co",Media,Infrastructure and utilities,Related and informative
198,213553466344341504,Colorado High Park fire now 15% contained; hundreds of homes to be evacuated – InciWeb via @NBCNews http://t.co/jyhWaOg5,Media,Infrastructure and utilities,Related and informative
203,213627768435519488,"RT @AnaCabrera: #HighParkFire latest: 52,000 acres, 15% contained, at least 48 homes destroyed, 200new evacs overnight in Glacier View area.",Outsiders,Infrastructure and utilities,Related and informative
214,213751626211667968,RT @850KOA: Devasting update from #HighParkFire.  112 homes lost.  More likely to be counted in the coming days.,Media,Infrastructure and utilities,Related and informative
217,213966051640221697,Colorado wildfire: High Park Fire near Fort Collins devours 37000 acres,Media,Infrastructure and utilities,Related and informative
219,214012344139911168,"RT @KyleLSaunders: Whoops, wrong link: #HighParkFire threatens largest Buddhist temple in North America http://t.co/I74jaJfG",Outsiders,Infrastructure and utilities,Related and informative
222,214131592413712385,"RT @BreakingNews: Officials: Colorado's High Park fire claims 181 homes, the most in state history - @denverpost http://t.co/Vf9Z667f",Media,Infrastructure and utilities,Related and informative
226,214164312175026177,Most destructive ever Colorado wildfire burns 181 homes http://t.co/D7pnuBOD via @msnbc_us,Media,Infrastructure and utilities,Related and informative
227,214168795881811969,High Park Fire 2012: Colorado Blaze Burns Record Number Of Homes: DENVER -- Additional crews were arriving Satur... http://t.co/sujgYpDy,Media,Infrastructure and utilities,Related and informative
229,214182184104370176,[Denver News] Colorado wildfire ranks as most destructive in state history: DENVER (Reuters) - An 85-square-mile... http://t.co/yHGdSthP,Media,Infrastructure and utilities,Related and informative
230,214194607657992192,"RT @9NEWS: #HIGHPARKFIRE now 45% containment, has burned 55,050 acres.  #9NEWS",Media,Infrastructure and utilities,Related and informative
231,214201167515885568,"“@news_com_au: THE wildfire burning just west of Fort Collins, Colorado, has destroyed 181 homes, ... http://t.co/hOFdZrkW”",Media,Infrastructure and utilities,Related and informative
233,214226740220928000,Wildfire destroys 181 homes in Colorado: Additional crews were joining the fight Saturday against a wildfire in ... http://t.co/fqUi3Wu6,Media,Infrastructure and utilities,Related and informative
