Tweet ID,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
14,211557401231495171,RT @northfortynews: Tanker helicopter heads up to Paradise Park to drop water on #HighParkFire. http://t.co/7atRS5cy,Media,Other Useful Information,Related and informative
19,211607187653533697,20F degrees cooler tomorrow in North Central &amp; Northeastern #Colorado. Highs in the mid and upper 70'S. #HighParkFire #COwx #Heat #Coolbreak,Media,Other Useful Information,Related and informative
21,211654415503990784,FEMA has authorized the use of federal funds to help with firefighting costs for the #HighParkFire. http://t.co/whxlpPEP,Government,Other Useful Information,Related and informative
24,211685621125742592,RT @LarimerSheriff: #HighParkFire update http://t.co/hBy5shen,Government,Other Useful Information,Related - but not informative
25,211687189799636993,Wildfires in Colorado and New Mexico ravage thousands of acres of forest and cause massiv... http://t.co/SZuFABvb + http://t.co/8uX1AJmQ,Media,Other Useful Information,Related and informative
27,211732966416719873,Western wildfires forcing evacuations: Firefighters in Colorado and New Mexico are battling wildfires that are m... http://t.co/BOaVjrRO,Media,Other Useful Information,Related and informative
30,211830756614475777,#50radio #NowPlaying 5-0 Radio app (Larimer County Fire and EMS) rr://7897 #highparkfire,Media,Other Useful Information,Related - but not informative
31,211848238465159170,"According to Gov Hickenlooper, One third of all fire retardant equipment in the country is here in Larimer County. #highparkfire",Government,Other Useful Information,Related and informative
33,211884082991333376,Huge forest fire here in Colorado up in the mountains,Outsiders,Other Useful Information,Related and informative
35,211893016892424192,"RT @denverpost: #HighParkFire, at 14,000 acres (22 sq. miles), is roughly the same size as the city of #Boulder (24 sq. miles): http://t ...",Media,Other Useful Information,Related and informative
36,211904811250089984,"Colorado fire swells in size: A raging wildfire that swelled within a day to 8,000 acres in northern Colorado, b... http://t.co/VfjF9C59",Media,Other Useful Information,Related and informative
39,211936520179945472,"#HighParkFire trying to get more of all resources.. air, ground crews, military assistance.. competing for fire resources due to other fires",Government,Other Useful Information,Related and informative
46,211968233312485378,RT @TheUmno: MT @KellyNehls: #photo Unedited photo from New Belgium Brewery #highparkfire #fortcollins #loc New Belgium Brewery # http:/ ...,Media,Other Useful Information,Related and informative
47,211971932697010178,RT @SignaramaFC: Mulberry &amp; Lemay vie west 30 min ago. Can hardly believe it's actually 15 miles away!  #highparkfire http://t.co/vm ...,Outsiders,Other Useful Information,Related and informative
48,211976521278164993,#wildfire high park fire  http://t.co/OHB5nPtY,Media,Other Useful Information,Related and informative
49,211991952135172098,This is crazy #highparkfire http://t.co/TJyXcdNN,Outsiders,Other Useful Information,Related and informative
50,212000114246553600,RT @jawtry: RT @runnermwilliams: SW side of Ft Collins. It's like a scene from Independence Day. #highparkfire http://t.co/NYFVinVM,Outsiders,Other Useful Information,Related and informative
52,212019143803797505,#IFWT Colorado Wildfires Getting Worse - http://t.co/OhpuHWbi,Media,Other Useful Information,Related and informative
55,212025686918049793,RT @cnnbrk: Colorado #wildfire doubles in size on Sunday. http://t.co/CepAPje9,Media,Other Useful Information,Related and informative
56,212032414564880384,"#LarimerCounty Colorado, #HighParkFire Map of fire: http://t.co/Dkm0JXmF",Government,Other Useful Information,Related and informative
57,212046599696826369,RT @u2videoqueen: Smoke plume from #HighParkFire.  Viewed from Northern #Boulder county. http://t.co/z56NZeJ3,Media,Other Useful Information,Related and informative
60,212061829235613698,"Sunset I shot last April on top of Buckhorn Mountain, at #ShilohGuestRanch, now under #HighParkFire.  http://t.co/vVG1oCBO",Outsiders,Other Useful Information,Related and informative
63,212158197543337984,#highparkfire apparently now larger than the city of Boulder at approximately 31.25 sq miles,Outsiders,Other Useful Information,Related and informative
70,212200052511342594,RT @TimesCall: Colorado's High Park fire has burned nearly 58 square miles. http://t.co/dqqFGDjr,Media,Other Useful Information,Related and informative
71,212201952547840000,"Follow @TaliahBeatz RT @ressiVdanor RT @HADIARE: #OPENFOLLOW Fort Collins, Colorado Wildfire Spreads As New Mexico ...  Follow @JiNxBeatz",Media,Other Useful Information,Related and informative
73,212212127929344001,Next #HighParkFire RESIDENT briefing: 3pm McKee bldg at The Ranch in Loveland. @DenverChannel #Denver7,Media,Other Useful Information,Related and informative
76,212221690904723458,Great info on how to help #people and #pets http://t.co/oawrZZoK via @ColoradoStateU #HighParkFire #cofire,Government,Other Useful Information,Related and informative
79,212228666070011904,Photos: Fire threatens man and nature: Photos: Northern Colorado fire rages on       http://t.co/GgPZl7Zf,Media,Other Useful Information,Related and informative
81,212231891477217283,RT @LarimerCounty: Map of #HighParkFire as of 00:20 this morning. http://t.co/5NcEjnop,Government,Other Useful Information,Related and informative
83,212235003646586880,Colorado wildfire 'moving fast' http://t.co/1VTm9QbN,Media,Other Useful Information,Related and informative
86,212245812367982592,Photo of the Colorado wildfire from space (via @NASA) http://t.co/AWCRkwr2 #HighParkFire #FortCollins #Highpark #Lemay via @michaelhayes,Government,Other Useful Information,Related and informative
89,212306336183091200,"New Mexico, Colorado fires burn out of control http://t.co/StksrcBK",Media,Other Useful Information,Related and informative
90,212311709082337281,The copter is on the way to the #HighParkFire. We'll be airing it live throughout our coverage. You can also follow @CodyCrouch for pics.,Media,Other Useful Information,Related and informative
92,212315735609966592,RT @9NEWS: #HighParkFire - CONFIRMED cause of fire is lightning strike,Media,Other Useful Information,Related and informative
97,212373109477617664,"Current estimate for #HighParkFire is 41,140 acres. They will know more in the morning after a night IR picture is taken.",Outsiders,Other Useful Information,Related and informative
102,212414263984275456,"RT @news_com_au: MORE firefighters have been recruited to help fight a raging wildfire in the western US state of Colorado, which... htt ...",Media,Other Useful Information,Related and informative
103,212429443170435072,"RT @jawtry: RT @travisswan: #HighParkFire 3 panoramas I took today from h.287, Bingham Hl Rd, &amp; ridge above Co Rd 23. @coloradoan ht ...",Eyewitness,Other Useful Information,Related and informative
104,212441208226717697,Forest fires in Colorado and New Mexico. :(,Outsiders,Other Useful Information,Related - but not informative
106,212462741770862592,VIDEO: Colorado wildfire 'moving fast' http://t.co/RvRouaTA,Media,Other Useful Information,Related and informative
109,212539984052363265,"RT @NBCNews: New Mexico, Colorado wildfires burn out of control http://t.co/G415N0Hi",Media,Other Useful Information,Related and informative
111,212552860590813184,RT @dhorning11: RT @LarimerCounty: #HighParkFire burn area map as of Monday night 10 p.m. http://t.co/1guBTcXX,Government,Other Useful Information,Related and informative
112,212559890248499200,"RT @LarimerSheriff: #HighParkFire now at 43,433 acres with some containment.  500 firefighters will be working today.",Government,Other Useful Information,Related and informative
114,212572582220795904,"@9NEWS: Incident command: NE &amp; SE corners, S flank of #HighParkFire are hot. East flank, which is closest to Ft Collins is calm",Media,Other Useful Information,Related and informative
115,212579779608719362,"Colorado Fires Map: Colorado Fires Map, A sprawling wildfire in northern Colorado grew larger than the nearby city... http://t.co/VukHl8wx",Media,Other Useful Information,Related and informative
116,212580551381630977,"RT @infodude: Did some math, at 43,433 acres #highparkfire in CO is 67.86 sq miles. That's 3x the size of the island of Manhattan! (22.9 ...",Outsiders,Other Useful Information,Related - but not informative
118,212582216503533569,"RT @SarahBisbing: #HighParkFire #ecosystems Densely stocked forest, extremely dry fuels, lack of precip, and high winds = fire likely to ...",Outsiders,Other Useful Information,Related and informative
