postID,categories,indicatorTerms,priority,timestamp,full_text
204173614273146880,['Irrelevant'],[],Low,2018-09-11 16:56:01,Powerful quake kills at least 4 in northern Italy - Boston Herald http://t.co/qfe9G29V
207373847241035776,['Irrelevant'],[],Low,2018-09-11 17:06:12,
209395929592238080,"['ThirdPartyObservation', 'ContinuingNews']",[],High,2018-09-11 17:25:18,
207469489984507904,['Sentiment'],[],Low,2018-09-11 17:11:36,@Nicaea1 praying for those who died in the earthquake in N Italy Requiescant in pace
207738428740206592,['Sentiment'],[],Low,2018-09-11 17:16:08,"@jaredleto Have a thought for the earthquake victims of 'Emilia, Italy.thanks!"
207397515706896384,['Irrelevant'],[],Low,2018-09-11 17:06:50,Three dead in Italy quake - news agency http://t.co/SqBNlYbj [@Reuters #news]
207468177138003968,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",[],Critical,2018-09-11 17:11:22,Latest update:  #quake #Italy  15 dead   5000 people evacuated ...
204994779308769280,['Irrelevant'],[],Low,2018-09-11 17:04:23,"Italy earthquake hits parmesan production - :(
http://t.co/roE5okZi
via @guardian"
204205629408161792,['Irrelevant'],[],Low,2018-09-11 16:57:43,
204099568009355264,['Irrelevant'],[],Low,2018-09-11 16:51:58,
207480101569433600,['Sentiment'],[],Low,2018-09-11 17:13:01,#fear #earthquake What is happening to our Italy? To our world? No one in the world seems to care about....
204224277250195456,"['Hashtags', 'Sentiment']",[],Low,2018-09-11 16:57:52,I am #praying for #Italy today after the #earthquake last night. http://t.co/gdchaS8y
207759840666333184,['Irrelevant'],[],Low,2018-09-11 17:17:23,
207504504030105600,['Sentiment'],[],Low,2018-09-11 17:13:45,
205024114245771264,['Sentiment'],[],Low,2018-09-11 17:04:32,
207532425486671872,['Irrelevant'],[],Low,2018-09-11 17:14:03,"Death toll rises to 15 in Italy quake: A strong earthquake rocked northeastern Italy today, killing at least 15 ... http://t.co/CbZxBBAe"
207483301789839360,['Irrelevant'],[],Low,2018-09-11 17:13:07,
204225816572346368,"['ThirdPartyObservation', 'ContinuingNews']",[],Low,2018-09-11 16:58:31,http://t.co/bmdS4Yh9 Quake kills at least 4 in northern Italy via @USATODAY
207504025866870784,['Sentiment'],[],Low,2018-09-11 17:13:36,RT @HandofHope: Please join us in praying for those affected by today's earthquake in Northern Italy http://t.co/vjZz3iTQ
204039874679025664,"['ThirdPartyObservation', 'ContinuingNews']",[],Low,2018-09-11 16:43:58,"RT @Reuters: 5.9-magnitude earthquake strikes near Bologna, Italy  (the earthquake had initially registered at magnitude 6.3) http://t.c ..."
204180358730752000,['Irrelevant'],[],Low,2018-09-11 16:56:35,
207454197531156480,['Sentiment'],[],Low,2018-09-11 17:10:24,Hoping everyone will be OK... Earthquake in northern Italy kills at least 10 – http://t.co/KlS39GY0 http://t.co/g3dGINoA via @USATODAY
