categories,indicatorTerms,postID,priority,timestamp
"['Factoid', 'PastNews', 'Discussion']",[],964312020790272000,Low,2018-09-21 13:29:15
"['MultimediaShare', 'PastNews', 'Discussion']",[],966357581844418560,Low,2018-09-26 16:32:36
"['PastNews', 'Sentiment', 'Irrelevant']",[],964884456040468480,Low,2018-09-24 15:43:09
"['MultimediaShare', 'Factoid', 'ContinuingNews', 'KnownAlready']",[],963943830184710144,Medium,2018-09-13 16:40:21
"['MultimediaShare', 'Factoid', 'Hashtags', 'ContinuingNews', 'KnownAlready']",[],964063502317989888,Medium,2018-09-14 15:29:56
"['PastNews', 'Discussion']",[],966363150194036736,Low,2018-09-26 16:33:56
"['EmergingThreats', 'ContinuingNews']",[],963870286234968064,Critical,2018-09-12 18:36:58
"['PastNews', 'Discussion']",[],967443634877427712,Medium,2018-09-26 17:38:31
"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",[],967058771905269760,Low,2018-09-26 17:33:28
"['MultimediaShare', 'PastNews', 'Discussion']",[],966392089914236928,Low,2018-09-26 16:42:03
"['ContinuingNews', 'KnownAlready']",[],963915140277121024,Low,2018-09-13 15:13:07
"['MultimediaShare', 'PastNews', 'Discussion']",[],965647786602582016,Medium,2018-09-26 14:12:29
"['PastNews', 'Discussion', 'KnownAlready']",[],966203654301802496,Low,2018-09-26 15:54:57
"['PastNews', 'Discussion']",[],964566427280822272,Low,2018-09-21 16:49:04
"['MultimediaShare', 'Hashtags', 'PastNews', 'Discussion']",[],965135338955067392,Medium,2018-09-26 12:49:00
"['MultimediaShare', 'ContinuingNews', 'Discussion']",[],964327647894437888,Medium,2018-09-21 13:43:26
"['MultimediaShare', 'Hashtags', 'PastNews', 'Discussion']",[],965693739602792448,Low,2018-09-26 14:22:56
"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",[],964714294725132288,Low,2018-09-24 14:50:37
"['PastNews', 'Discussion']",[],963988367435358208,Low,2018-09-14 13:33:03
"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",[],964532171896651776,Low,2018-09-21 15:59:24
"['MultimediaShare', 'Hashtags', 'PastNews', 'Sentiment']",[],966135462372040704,Low,2018-09-26 15:41:32
"['PastNews', 'Discussion']",[],964329543174586368,Low,2018-09-21 13:46:34
"['PastNews', 'Discussion', 'KnownAlready']",[],964798451845419008,Low,2018-09-24 15:10:02
"['MultimediaShare', 'PastNews', 'Discussion']",[],966336081116434432,Low,2018-09-26 16:11:01
"['MultimediaShare', 'Factoid', 'ContinuingNews', 'KnownAlready']",[],963916191009050624,Medium,2018-09-13 15:15:32
"['MultimediaShare', 'Hashtags', 'PastNews', 'Discussion', 'KnownAlready']",[],965998951055921152,Low,2018-09-26 15:03:12
"['PastNews', 'Discussion']",[],966326483454185472,Low,2018-09-26 16:07:53
"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",[],964212699478593536,Medium,2018-09-18 16:23:39
"['PastNews', 'Sentiment', 'Discussion']",[],963936751655014400,Low,2018-09-13 16:02:38
