Event_Name,tweet_id,Text,TimeStamp,User Info,Description
laAirportShooting2013,396263979762196480,KING D ROYALTY http://t.co/2RJIrrnlOi … #LA #LAX #OAKLAND #SF #BAYAREA #VEGAS #LOSANGELES #CALI #SEO #SMM #WP #OC #MUSIC #BLOGS #TURNUP 81,Fri Nov 01 13:14:29 +0000 2013,Robert Stanforth,"oh and honestly people, if someone is a 10, give em an effin' 10. And I know I'm not a 3 so cut that shit out."
laAirportShooting2013,396313082466541568,Something's happening @ #LAX rt now!! Re-tweet.,Fri Nov 01 16:29:36 +0000 2013,Nathan the Nerd,Collector of toys and the magnifficent. Creator of the #NerdMovement. Comic lover. Nerd. Artist. Comic superstar. :) Creator of The Stalker™.
laAirportShooting2013,396315108311199744,Gunshots outside #LAX. Unknown if anyone is injured. Prayers go out to you all.,Fri Nov 01 16:37:39 +0000 2013,Nathan the Nerd,Collector of toys and the magnifficent. Creator of the #NerdMovement. Comic lover. Nerd. Artist. Comic superstar. :) Creator of The Stalker™.
laAirportShooting2013,396315620050223104,RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down. Suspect down.,Fri Nov 01 16:39:41 +0000 2013,B Dove,#TheFamNYC
laAirportShooting2013,396317146751307776,RT @charlescwcooke: California should pass gun control. RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down…,Fri Nov 01 16:45:45 +0000 2013,Gin Diesel,
laAirportShooting2013,396317331330433024,"RT @NewsBreaker: EYEWITNESS: @ToryBelleci reports hearing gun shots, ""then everyone starting running for the door."" Outside now @ #LAX http…",Fri Nov 01 16:46:29 +0000 2013,The Two Gallivants,took a break from work to see what else is out there: from Jan'14 to Feb'15 we enjoyed #travelling & #backpacking around #SEA #China & #Australia
laAirportShooting2013,396317406798553088,"Shots fired, airport evacuated at #LAX is what im seeing all over my timeline.",Fri Nov 01 16:46:47 +0000 2013,Ian,"22- Assistant Manager/Barista at Costa Coffee @ Odeon. I make money by making coffee, then spend that money on coffee.All views/opinions are my own."
laAirportShooting2013,396317725556887552,RT @LASportsRadio: Some guy just got into the LAX airport with a rifle.  Last week LAX security confiscated my hair gel.,Fri Nov 01 16:48:03 +0000 2013,9erGangGeneral,#9erGangGeneral #49ers #LAKERS #Noles
laAirportShooting2013,396318216299229184,RT @WLTX: #BREAKING: Gunfire reported Los Angeles airport (#LAX) terminal 3. Pic via Fox Sports reporter @foxsportsreiter http://t.co/cbPt6…,Fri Nov 01 16:50:00 +0000 2013,talk2Melodie ツ,"ツLife is a Journey, come along with me."
laAirportShooting2013,396318312759455744,"RT @ABC7News: JUST IN per @911LAPD: Police are responding to a ""major incident"" at #LAX. http://t.co/sCgUph2DnU",Fri Nov 01 16:50:23 +0000 2013,Rick Carpiniello,"Official account for Rick Carpiniello, contributing reporter for https://t.co/lB7Vly0D7M."
