Event_Name,tweet_id,Text,TimeStamp,User Info,Description
costaRicaEarthquake2012,243121539552256001,"#Earthquake M 4.8, south of Bali, Indonesia: September 04, 2012 21:19:30 GMT http://t.co/iEelaYGO",Tue Sep 04 23:01:06 +0000 2012,YK Lee,Die-hard LA Lakers fan; Twitter is my medium to communicating with NBA/Lakers fans worldwide! Also love knowing more Japanese friends!
costaRicaEarthquake2012,243198739882332161,"#earthquake: M 4.5, Taiwan region http://t.co/7FmNQZdm",Wed Sep 05 04:07:52 +0000 2012,Earthquake Alarm,"Earthquake alarms in real-time over all major Social Networks.

http://t.co/qGb8ZsO1VI"
costaRicaEarthquake2012,243203924050448384,"#earthquake M 2.6, Hawaii region, Hawaii http://t.co/S2GbQIaO",Wed Sep 05 04:28:28 +0000 2012,Earthquake Tracker,Up to date listing of global earthquakes as they happen.
costaRicaEarthquake2012,243360283526045696,"RT @NewEarthquake: 7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42am at epicenter (6m ago, 83km S of Liberia, depth 46km). http: ...",Wed Sep 05 14:49:47 +0000 2012,Jorge Paredes O.,Comunicaciones y otras pequeñeces.
costaRicaEarthquake2012,243361084629721088,"RT @Reuters: More: 7.9-magnitude earthquake rattles coastline of Costa Rica, USGS says - http://t.co/9YqdEq9g",Wed Sep 05 14:52:58 +0000 2012,June Clinkenbeard,"Happily Southern. Interested in Everything. Conservative w/Libertarian leanings. Born on an AFB, married to Navy Vet."
costaRicaEarthquake2012,243361147519127553,RT @BreakingNews: Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,Wed Sep 05 14:53:13 +0000 2012,Anthony Outlaw Jr.,Ant Man; Rise and fire; Panthers and Steelers my teams to watch
costaRicaEarthquake2012,243361298518249473,Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,Wed Sep 05 14:53:49 +0000 2012,David Woodward,Telling people about God and his and love for them
costaRicaEarthquake2012,243361642447007744,RT @Reuters: Live coverage: 7.9-magnitude earthquake rattles the coast of Costa Rica; tsunami watch for Caribbean in effect - http://t.c ...,Wed Sep 05 14:55:11 +0000 2012,Egy & más...,
costaRicaEarthquake2012,243361915110297600,RT @BreakingNews: Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS,Wed Sep 05 14:56:16 +0000 2012,Change engineer,Hendrix Bonomassa SRV
costaRicaEarthquake2012,243361965420998657,"RT @BreakingNews: Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters",Wed Sep 05 14:56:28 +0000 2012,Marie,Owner of @OutlanderOnline & @ThinkingofRob. I have too many websites and spend too much time here. #WeatherGeek #HistoryGeek and #Habs fan.
