Event_Name,tweet_id,Text,TimeStamp,User Info,Description
westTexasExplosion2013,324681353662709760,"@MontesCb7 Waco, Texas!! I use to live near there, ilived in McKinney, tx near Plano where the ""D"" is made lol",Thu Apr 18 00:30:41 +0000 2013,10•03,✨ Proud Mother of 2.....1989. Music says what cant be Spoken.
westTexasExplosion2013,324693550694543361,"Really? Another explosion, now in Texas? What the hell is wrong with people nowadays? Goddamn...",Thu Apr 18 01:19:09 +0000 2013,Jonathan,20; Snapchat & IG Jstafford4897. I know God's working so I smile ~ Phillip Lutzenkirchen
westTexasExplosion2013,324694339240460289,"Explosion reported at fertilizer plant in West, McLennan Co.",Thu Apr 18 01:22:17 +0000 2013,Navarro County OEM,The Navarro County Office of Emergency Management (NCOEM) serves Navarro County in preparing for and responding to emergencies and disasters.
westTexasExplosion2013,324694565753851904,RT @Donna4843: triage for injured at Reagan st in West Tx due to plt explosion  Multiple areas on fire including a school. http://t.co/t ...,Thu Apr 18 01:23:11 +0000 2013,AE Marla,News and stuff from the Desk. I work at NBC4. Follows and re-tweets are not endorsements. Tweets to me may end up on TV or online.
westTexasExplosion2013,324694993551884288,RT @911BUFF: TEXAS: MASSIVE EXPLOSION U/D - LOCAL HOSPITALS NOTIFIED. EVERY AVAILABLE AMBULANCE DISPATCHED. REPORTS OF CASUALTIES. http: ...,Thu Apr 18 01:24:53 +0000 2013,Emil Pasic,"Business, Sports, Politics."
westTexasExplosion2013,324695182303961089,"RT @firehat: Now tuned in to the massive explosion near Waco. Multiple buildings afire, including a school. Hospital in burning area. Un ...",Thu Apr 18 01:25:38 +0000 2013,William J Sekora Jr,
westTexasExplosion2013,324702421668487169,RT @sudixitca: MT @RT_com BREAKING: Multiple casualties in #Texas fertilizer plant explosion - reports http://t.co/CXHwhVpdVk,Thu Apr 18 01:54:24 +0000 2013,Fatima Puskar,Just being ME ~ Spontaneous Sagittarius who adores kids with special needs. :) Love Sports & animals.  Also I'm a Democrat who stands for Justice/Human Rights.
westTexasExplosion2013,324702723675144192,"@wfaachannel8 McLennan co. dispatch asking more resources rescue trapped people in apartment #explosion at fertilizer plant in West, TX",Thu Apr 18 01:55:36 +0000 2013,Todd Unger,Reporter/Fill-in Anchor @ WFAA News 8 in DFW. Tweets & RT's are my own. Univ Den alum. 3 putts with the best of 'em.
westTexasExplosion2013,324702774006775809,#waco #explosion http://t.co/4KzHKAsPop,Thu Apr 18 01:55:48 +0000 2013,Webster Firefighters,Twitter presence of the social media efforts to assist the firefighters and community in the wake of the tragic shooting. Non-affiliated with the WWFD.
westTexasExplosion2013,324705017925861376,"Their was another explosion in west texas, wth!",Thu Apr 18 02:04:43 +0000 2013,Kim,
