tweet_id,event_id,event_name,full_text,date
204093670847291392,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,"RT @AP: Reports: 3 dead in magnitude-5.9 earthquake that strikes near Bologna, Italy: http://t.co/oMng91FE -JM",Sun May 20 06:18:17 +0000 2012
204099568009355265,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,"RT @cnni: Quake hits northern Italy, one dead http://t.co/dmCMwbCf",Sun May 20 06:41:43 +0000 2012
204101208015769600,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,Three killed in Italy earthquake: An earthquake in northern Italy kills at least three people and causes thousan... http://t.co/sOC3O9OE,Sun May 20 06:48:14 +0000 2012
204101451268624385,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,RT @CNN: At least 3 dead after earthquake rocks northern Italy http://t.co/wrolmWMv,Sun May 20 06:49:12 +0000 2012
204105960145428480,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,RT @BBCWorld: Three killed in Italy earthquake http://t.co/KiokyFRU,Sun May 20 07:07:07 +0000 2012
204111366599094273,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,RT @1Dneews: An #earthquake hit northern Italy at 4:03am. It killed at least 4 people and caused lots of panic and damages. #prayforitaly,Sun May 20 07:28:36 +0000 2012
204130681377390592,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,"RT @marcodalladea: The 5.9 earthquake hitting north Italy this morning at 4 am was felt in Milan, but had no consequences on the ISSF WC ...",Sun May 20 08:45:21 +0000 2012
204131721560596481,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,"RT @MiChamoun: People, Coppa Final might be postponed. 5.9 magnitude earthquake this morning in Italy (epicenter Ferrara). 3 dead so far :/",Sun May 20 08:49:29 +0000 2012
204144421904723969,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,RT @kjhutchinson: BBC News - Four killed in northern Italy earthquake http://t.co/Sw7H2PSe #geographyteacher,Sun May 20 09:39:57 +0000 2012
204165208879546368,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,5 Die After Earthquake in Italy - New York Times http://t.co/PHIT5njt,Sun May 20 11:02:33 +0000 2012
204167490606075905,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,4.5 #earthquake! Sun May 20 12:12:21 GMT+02:00 2012 near Northern Italy http://t.co/FLCN1p03,Sun May 20 11:11:37 +0000 2012
204169428370325506,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,,
204173614273146880,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,Powerful quake kills at least 4 in northern Italy - Boston Herald http://t.co/qfe9G29V,Sun May 20 11:35:57 +0000 2012
204177552707821570,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,,
204180358730752001,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,"RT @AP: Reports: 3 dead in magnitude-5.9 earthquake that strikes near Bologna, Italy: http://t.co/oMng91FE -JM",Sun May 20 12:02:45 +0000 2012
204195361726808064,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,"Strong quake hits Northern Italy, at least four dead: BONDENO, Italy (Reuters) - A strong earthquake rocked a large... http://t.co/pRa0NoV6",Sun May 20 13:02:22 +0000 2012
204205109310259200,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,Powerful quake kills at least 4 in northern Italy - Fox News http://t.co/OGcJkHxs #TFB @Kaijzer,Sun May 20 13:41:06 +0000 2012
204205629408161793,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,"“@NewEarthquake: 5.1 earthquake, northern Italy. May 20 3:18pm at epicenter (23m ago, 30km NNE of Bologna, depth 11km). @Nicocordova24",Sun May 20 13:43:10 +0000 2012
204224277250195456,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,I am #praying for #Italy today after the #earthquake last night. http://t.co/gdchaS8y,Sun May 20 14:57:16 +0000 2012
204225816572346368,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,http://t.co/bmdS4Yh9 Quake kills at least 4 in northern Italy via @USATODAY,Sun May 20 15:03:23 +0000 2012
204228526117888001,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,RT @CPPGeophysics: Italy quake occurred in low probability region according to this study: http://t.co/XvRonTo8 (Fig 1 has nice simplifi ...,Sun May 20 15:14:09 +0000 2012
204230694568869889,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,Italy Earthquake: Finale Emilia Quake Near Bologna Kills At Least 4 (PHOTOS) http://t.co/kdJYHD0N via @HuffPostWorld,Sun May 20 15:22:46 +0000 2012
204284922700103680,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,RT @StarAdvertiser: Strong quake kills at least 4 in northern Italy http://t.co/Dn2ItgHQ,Sun May 20 18:58:15 +0000 2012
204287976182779904,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,"RT @NewEarthquake: 4.7 earthquake, northern Italy. May 20 7:37pm at epicenter (1h:28m ago, 43km N of Bologna, depth 21km). http://t.co/3 ...",Sun May 20 19:10:23 +0000 2012
204342460191739905,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,RT @sednonsatiata: RT @nrberlanga: STOPPED TIME: The damaged clock tower of Finale Emilia in Italy after earthquake http://t.co/HHTRvT0p ...,Sun May 20 22:46:53 +0000 2012
204351842845589506,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,RT @Pikachhuu: The earthquake that hit Italy is the beginning....,Sun May 20 23:24:10 +0000 2012
204352568430829568,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,"Watch: Italy's Earthquake Aftermath: CNN iReporter Luca Martini took these pictures in Ferrara, Italy following the... http://t.co/IgwAmnfj",Sun May 20 23:27:03 +0000 2012
204357102486032384,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,#News Italy quake victims given shelter http://t.co/cXQEusVm via @BBC,Sun May 20 23:45:04 +0000 2012
204422667850358785,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,Massive earthquake in Italy equals a possible shortage of Parmesan cheese! Nooooo! http://t.co/nPhqs7jY,Mon May 21 04:05:36 +0000 2012
204455375045541889,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,RT @AvatarFikiMiki: Earthquake in northern Italy. Seven months waiting time for Kukulcan's signal from Mexico. http://t.co/QTUglMHl,Mon May 21 06:15:34 +0000 2012
204471661519585280,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,"Italy earthquake: Seven dead, 50 injured, authorities say | The Lookout - Yahoo! News http://t.co/VH4ydlto via @YahooNews",Mon May 21 07:20:17 +0000 2012
204555593724346369,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,,
204590519710531585,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,"http://t.co/qZBCA7B8  just posted Video: Strong Earthquake Strikes Northern Italy, read it here: http://t.co/lfSyprp4",Mon May 21 15:12:35 +0000 2012
204618743152775168,TRECIS-CTIT-H-Test-008,italyEarthquakes2012,"RT @csmonitor: Italy earthquake: modern buildings, not ancient ones, pose biggest threat http://t.co/6GMDcMP4",Mon May 21 17:04:44 +0000 2012
