postID,categories,indicatorTerms,priority,timestamp,full_text
402630668976271360,"['Sentiment', 'Irrelevant']",[],Low,2018-09-12 16:23:32,
399662230045601792,"['Sentiment', 'Irrelevant']",[],Low,2018-09-10 19:05:42,"Respect, Philippines. If even half the strength of that typhoon hit your town, you'd already be screaming for Jesus. #PrayForThePhilippines"
400230893773922304,"['Donations', 'ThirdPartyObservation', 'Hashtags', 'ContinuingNews']",[],Medium,2018-09-11 17:12:17,
410352135193501696,"['MultimediaShare', 'Sentiment']",[],Low,2018-09-12 18:18:27,"RT @ABSCBNChannel2: Justin Bieber meets with young typhoon survivors in Tacloban, Philippines. Wow. A man with a good heart. .afpphoto http…"
398482456195522560,"['Hashtags', 'ContinuingNews']",[],Medium,2018-09-10 16:01:36,#Haiyan Short Floater - Visible Imagery Loop http://t.co/rL41M5uBO2
400123129499906048,"['Factoid', 'Official', 'ContinuingNews']",[],Medium,2018-09-11 16:59:12,
400582116401872896,"['ThirdPartyObservation', 'Factoid', 'Hashtags', 'ContinuingNews']",[],Medium,2018-09-11 18:12:02,RT @VanessaHudgens: Last Estimate : 4 million children effected. #Philippines
405326369132797952,['Sentiment'],[],Low,2018-09-12 16:55:04,"""THAT'S WHAT ITS ALL ABOUT.WHEN YOU MAKE IT,GIVE BACK"".Alicia Keys visits typhoon refugees in Philippines http://t.co/ywrAFlVaO0"
401065275069829120,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",[],High,2018-09-11 19:28:23,NEWS | UN Reports 4460 Dead in Philippines Typhoon - ABC News http://t.co/L9yAvmFLRt via Google
399918493602041856,"['Hashtags', 'Sentiment']",[],Low,2018-09-10 19:37:16,
405531722252431360,"['Hashtags', 'ContinuingNews', 'Sentiment']",[],Low,2018-09-12 16:58:14,RT @UNICEFNZ: Amazing news! Donations to our appeal for the #philippines have reached $1.3m. Thanks so much! : http://t.co/woTKclE57i #Haiy…
399224520872964096,"['MultimediaShare', 'Hashtags', 'ContinuingNews']",[],Low,2018-09-10 18:04:57,PHOTO / #Haiyan can be seen in incredible size and force from the International Space Station. #YolandaPH #Haiyan http://t.co/jfugE2yitn
398722122916175872,"['ThirdPartyObservation', 'ServiceAvailable', 'Hashtags', 'ContinuingNews']",[],High,2018-09-10 16:42:41,"@unicefphils If health evidence needed in relation to #Haiyan flooding, check out @EvidenceAid http://t.co/Ewb4ZjrMxd"
398705551212683264,"['EmergingThreats', 'Official', 'Hashtags', 'ContinuingNews']",[],High,2018-09-10 16:39:37,RT @PIA_NCR: PAGASA: Metro Manila will experience the worst of #YolandaPH 5pm or 6pm tonight when typhoon reaches Mindoro.
401691744682516480,"['Hashtags', 'Sentiment']",[],Low,2018-09-11 19:56:45,
402913277023244288,"['Donations', 'ContinuingNews']",[],Medium,2018-09-12 16:30:08,
402587257968029696,"['Donations', 'ContinuingNews']",[],Low,2018-09-12 16:22:05,Join us &amp; @RedCross in raising awareness &amp; donations for relief for those affected by the typhoon in the Philippines: http://t.co/GCwecMDx9a
399523180483600384,"['MultimediaShare', 'ContinuingNews', 'Sentiment']",[],Medium,2018-09-10 18:44:03,
400496212874256384,"['Sentiment', 'Irrelevant']",[],Low,2018-09-11 18:04:31,RT @AlfredoFlores: Typhoon Haiyan should be a constant reminder of how blessed we are to wake up another day. Praying for all the victims i…
401991763247648768,"['MultimediaShare', 'Hashtags', 'ContinuingNews']",[],Medium,2018-09-12 16:02:48,#China says it's ready to send medical teams to #Philippines. Early aid pledges were criticised @AFP http://t.co/QGZAf3hZoS
402632468370845696,"['MultimediaShare', 'Factoid', 'Hashtags', 'ContinuingNews']",[],Medium,2018-09-12 16:23:47,"RT @unicefaustralia: Latest #infographic on Philippines emergency response. Almost 800,000 children displaced &amp; 1.9 million people #haiyan …"
407809699124240384,"['Donations', 'ContinuingNews']",[],Low,2018-09-12 17:11:21,RT @Hadlow_College: Our #Floristry students are getting creative this year &amp; raising money for the typhoon Haiyan appeal: http://t.co/10He5…
399353147568963584,"['FirstPartyObservation', 'MultimediaShare', 'Factoid', 'Hashtags', 'ContinuingNews']",[],High,2018-09-10 18:24:49,
