tweet_id,event_id,event_name,full_text,date
402699237487812608,TRECIS-CTIT-H-Test-015,typhoonYolanda2013,RT @SharePoint: Get SharePoint consulting from MVPs by helping the #Haiyan victims! http://t.co/3YHgc2d4V7,Tue Nov 19 07:25:54 +0000 2013
402741780287737856,TRECIS-CTIT-H-Test-015,typhoonYolanda2013,RT @abc7newsBayArea: Join ABC7 and the Red Cross in helping the victims of Typhoon Haiyan in the Philippines. Call 415-954-7621 to donate! …,Tue Nov 19 10:14:57 +0000 2013
402756242281865216,TRECIS-CTIT-H-Test-015,typhoonYolanda2013,"Sketches for survivors. Thursday, 1030-1050, 1220-1300hrs MISJ. #haiyan #relief #donate #we... http://t.co/8GbYExUppy http://t.co/3WMUhzR7wI",Tue Nov 19 11:12:25 +0000 2013
402758335222394880,TRECIS-CTIT-H-Test-015,typhoonYolanda2013,,
402795920393519105,TRECIS-CTIT-H-Test-015,typhoonYolanda2013,RT @Real_Liam_Payne: Contribute to #Haiyan relief efforts. Donate to the @RedCross via iTunes at http://t.co/DMTOB8932K,Tue Nov 19 13:50:05 +0000 2013
402807966401069056,TRECIS-CTIT-H-Test-015,typhoonYolanda2013,Regram from laureenmuy. Please pass! #tabangtacloban #YolandaPH http://t.co/H6JydItO1z,Tue Nov 19 14:37:57 +0000 2013
402851922731732992,TRECIS-CTIT-H-Test-015,typhoonYolanda2013,RT @MKA_UK: AMYA volunteers are running two campaigns to help both the victims of #TyphoonHaiyan and those in #Syria. Let us know if you wa…,Tue Nov 19 17:32:37 +0000 2013
402856913961897985,TRECIS-CTIT-H-Test-015,typhoonYolanda2013,@tacomaupdates #WSECU accepting #TyphoonAid donations at credit union. Funds will go to @MSF_USA,Tue Nov 19 17:52:27 +0000 2013
402876656526049280,TRECIS-CTIT-H-Test-015,typhoonYolanda2013,RT @Real_Liam_Payne: Contribute to #Haiyan relief efforts. Donate to the @RedCross via iTunes at http://t.co/DMTOB8932K,Tue Nov 19 19:10:54 +0000 2013
402913277023244290,TRECIS-CTIT-H-Test-015,typhoonYolanda2013,RT @Real_Liam_Payne: Contribute to #Haiyan relief efforts. Donate to the @RedCross via iTunes at http://t.co/DMTOB8932K,Tue Nov 19 21:36:25 +0000 2013
402948165223333888,TRECIS-CTIT-H-Test-015,typhoonYolanda2013,Cost of drinking  water  rapidly increasing on #Bantanyan Island can be as much 100% pre#Haiyan @Oxfam@oxfamph likely to increase.,Tue Nov 19 23:55:03 +0000 2013
