categories,indicatorTerms,postID,priority,timestamp
['Sentiment'],[],451343617215307776,Low,2018-09-06 17:03:38
"['FirstPartyObservation', 'Factoid', 'Official', 'ContinuingNews']",[],452687416155836416,Medium,2018-09-07 18:01:05
"['ThirdPartyObservation', 'Weather', 'Official', 'ContinuingNews']",[],451362273617932288,Medium,2018-09-06 17:33:15
['Sentiment'],[],451299877733941248,Low,2018-09-06 16:09:34
"['FirstPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],451619777492942848,Low,2018-09-06 18:44:34
"['Hashtags', 'ContinuingNews']",[],451380442110107648,Low,2018-09-06 17:49:19
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],451623325123346432,Low,2018-09-06 18:57:10
"['FirstPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],451797420608065536,Low,2018-09-07 16:26:18
"['Factoid', 'ContinuingNews']",[],451300464269983744,Low,2018-09-06 16:15:56
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],451622197673881600,Low,2018-09-06 18:50:42
"['ThirdPartyObservation', 'MultimediaShare', 'Official', 'ContinuingNews']",[],456639039001460736,Medium,2018-09-07 18:08:31
"['MultimediaShare', 'ContinuingNews']",[],451293728678760448,Low,2018-09-06 15:55:06
"['ThirdPartyObservation', 'Hashtags', 'ContinuingNews']",[],451739723305074688,Low,2018-09-06 19:28:27
"['MultimediaShare', 'ContinuingNews']",[],451954765552168960,Medium,2018-09-07 17:29:50
"['ThirdPartyObservation', 'ContinuingNews']",[],451426799478906880,Low,2018-09-06 18:03:19
['Sentiment'],[],451805812357222400,Low,2018-09-07 16:34:24
"['ThirdPartyObservation', 'MultimediaShare']",[],451788896570204160,Low,2018-09-07 16:17:27
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],452704646415777792,Low,2018-09-07 18:02:29
"['FirstPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],451619795398455296,Low,2018-09-06 18:45:03
"['FirstPartyObservation', 'MultimediaShare', 'Official', 'ContinuingNews']",[],452282875459551232,High,2018-09-07 17:55:35
"['ThirdPartyObservation', 'MultimediaShare', 'Sentiment']",[],451920870181572608,Low,2018-09-07 17:00:35
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],451300362901680128,Medium,2018-09-06 16:15:05
"['FirstPartyObservation', 'Official', 'ContinuingNews']",[],451625478692958208,Low,2018-09-06 19:02:29
"['ThirdPartyObservation', 'ContinuingNews']",[],451301328493375488,Low,2018-09-06 16:16:30
"['FirstPartyObservation', 'ContinuingNews']",[],451652145616416768,Low,2018-09-06 19:21:51
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],452272803773808640,Low,2018-09-07 17:50:16
"['ThirdPartyObservation', 'PastNews']",[],451650473205190656,Low,2018-09-06 19:18:20
"['ThirdPartyObservation', 'ContinuingNews']",[],451295594204897280,Low,2018-09-06 16:01:27
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],451343111877193728,Low,2018-09-06 17:03:30
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],452297605608112128,Low,2018-09-07 17:56:15
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],451615510925303808,Low,2018-09-06 18:33:53
"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",[],451414467717234688,Low,2018-09-06 18:00:44
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],451307097028718592,Low,2018-09-06 16:34:27
"['ThirdPartyObservation', 'ContinuingNews']",[],451297320336752640,Low,2018-09-06 16:04:45
"['ThirdPartyObservation', 'ContinuingNews']",[],451368502650470400,Low,2018-09-06 17:37:36
"['FirstPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",[],451375221677621248,Low,2018-09-06 17:47:07
"['ThirdPartyObservation', 'MultimediaShare']",[],451760532257652736,Low,2018-09-07 15:49:02
['Irrelevant'],[],451304386728177664,Low,2018-09-06 16:24:56
"['MultimediaShare', 'Factoid', 'ContinuingNews']",[],451289616641847296,Low,2018-09-05 17:57:53
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],451359927375003648,Low,2018-09-06 17:31:21
['Sentiment'],[],451299480692731904,Low,2018-09-06 16:09:20
"['ThirdPartyObservation', 'Discussion']",[],451623710907068416,Low,2018-09-06 18:58:47
"['FirstPartyObservation', 'ContinuingNews']",[],451941391145259008,Low,2018-09-07 17:02:34
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],451624770833244160,Low,2018-09-06 19:01:00
"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",[],451417850818101248,Low,2018-09-06 18:02:08
['ThirdPartyObservation'],[],451345750325071872,Low,2018-09-06 17:05:29
"['FirstPartyObservation', 'MultimediaShare', 'Official', 'ContinuingNews']",[],452248283977502720,Medium,2018-09-07 17:46:42
"['ThirdPartyObservation', 'ContinuingNews']",[],451351693494476800,Low,2018-09-06 17:25:32
"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",[],451300039055650816,Low,2018-09-06 16:12:04
['Sentiment'],[],451285666350239744,Low,2018-09-05 17:02:30
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],451624654306701312,Low,2018-09-06 19:00:19
"['FirstPartyObservation', 'Official', 'ContinuingNews']",[],451977906424537088,Medium,2018-09-07 17:39:51
['Sentiment'],[],451287576973148160,Low,2018-09-05 17:41:03
"['Weather', 'ContinuingNews']",[],451807116257275904,Low,2018-09-07 16:36:04
"['ThirdPartyObservation', 'MultimediaShare', 'Hashtags', 'ContinuingNews']",[],451652542456287232,Low,2018-09-06 19:27:38
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],451305585758064640,Low,2018-09-06 16:32:53
"['ThirdPartyObservation', 'ContinuingNews']",[],451335407217545216,Low,2018-09-06 16:52:20
"['FirstPartyObservation', 'MultimediaShare', 'Official', 'Hashtags', 'ContinuingNews']",[],452276965043482624,Medium,2018-09-07 17:51:24
['Sentiment'],[],451870367397588992,Low,2018-09-07 16:37:06
