postID,categories,indicatorTerms,priority,timestamp,full_text
232824699380441088,"['SearchAndRescue', 'FirstPartyObservation']",[],Medium,2018-09-10 16:14:46,
233029884740517888,"['ThirdPartyObservation', 'Advice']",[],Low,2018-09-10 16:52:29,Hashtags Help Coordinate Relief Efforts in Philippine Floods via @mashable http://t.co/wR2H3QPN #socialmedia #emergency
232813378928791552,"['ThirdPartyObservation', 'MultimediaShare']",[],Low,2018-09-10 16:06:03,RT @TIME: PHOTOS: Floods in Manila are displacing tens of thousands of people | http://t.co/3qLBSacC
233449407398412288,"['Donations', 'FirstPartyObservation', 'Advice']",[],Low,2018-09-10 18:09:36,"RT @jboygonzalessj: Ateneo HS #reliefPH kitchen: We have distributed 6,070 meals, and 1200 to be delived. Cooking rice now. Need canned  ..."
232830965662244864,"['GoodsServices', 'FirstPartyObservation', 'Advice']",[],High,2018-09-10 16:18:46,RT @TagaFEUKaKung: UST HOSPITAL'S GENERATOR ALREADY DIED!!! PLEASE SEND SOME RESCUERS! @RescuePH #RescuePH #ReliefPH @TheMayorLIM @TV5ma ...
233326807913476096,"['Donations', 'FirstPartyObservation']",[],Low,2018-09-10 17:38:56,
233429060825526272,"['Donations', 'FirstPartyObservation', 'Sentiment']",[],Low,2018-09-10 18:08:32,
232822379921952768,"['ThirdPartyObservation', 'ContinuingNews']",[],Low,2018-09-10 16:13:04,
232885659398975488,"['FirstPartyObservation', 'Official', 'Advice']",[],Low,2018-09-10 16:35:57,
233147400749981696,"['FirstPartyObservation', 'Sentiment']",[],Low,2018-09-10 17:22:30,"RT @paulaaortizz: :( ""@hannahgana06: Wtf is happening? Intense drought in America, flood here in Manila, and snow in Africa? Wow. #clima ..."
232805925658980352,"['ThirdPartyObservation', 'Advice']",[],Medium,2018-09-10 16:01:13,
232802863838003200,"['Donations', 'FirstPartyObservation']",[],Low,2018-09-10 15:59:44,RT @Official1D_PHIL: Remember you can help the victims of the flood by donating to Philippine Red Cross. More info on how here: http://t ...
232816340119998464,"['SearchAndRescue', 'FirstPartyObservation', 'EmergingThreats']",[],High,2018-09-10 16:08:28,
233020544000356352,"['ThirdPartyObservation', 'Sentiment']",[],Low,2018-09-10 16:51:21,
232784652178427904,"['FirstPartyObservation', 'Advice']",[],Low,2018-09-10 15:49:41,RT @TsardChua: If you see animals or pets in need of rescue please contact PETA. Call 817-5292. Thank you. #rescueph #FloodMNL Pls RT
233157597077852160,"['FirstPartyObservation', 'ContinuingNews']",[],Low,2018-09-10 17:25:45,"RT @xKiel_: Snow in Africa, Drought in America, Flood in Manila, Volcanic Eruption in New Zealand and Earthquake in California. Mother E ..."
233036369126100992,"['GoodsServices', 'Donations', 'FirstPartyObservation']",[],High,2018-09-10 16:53:35,
232871587509055488,"['SearchAndRescue', 'FirstPartyObservation']",[],High,2018-09-10 16:33:08,RT @elemooo: Pls Help! Raiza Lacostales and 3 others trapped @ 39bougainvilla st. Minahan Malanday +639175320538. #RescuePH @saabmagalon ...
