categories,indicatorTerms,postID,priority,timestamp
['ServiceAvailable'],[],592591516364771328,High,2018-09-13 17:27:13
['Sentiment'],[],592593011332153344,Low,2018-09-14 15:44:14
['SearchAndRescue'],[],592624817351700480,High,2018-09-17 17:16:10
"['Factoid', 'ContinuingNews']",[],592593079808364544,Medium,2018-09-14 15:46:13
"['EmergingThreats', 'ServiceAvailable']",[],592651857308291072,High,2018-09-18 16:35:26
"['Factoid', 'ContinuingNews', 'Sentiment']",[],592609535270985728,Medium,2018-09-17 16:06:37
['Donations'],[],592626569757102080,Medium,2018-09-17 17:25:30
['Sentiment'],[],592589319702904832,Low,2018-09-13 15:50:37
['Discussion'],[],592630011989008384,Low,2018-09-17 17:44:26
['ServiceAvailable'],[],592639351676399616,High,2018-09-17 19:10:18
['ServiceAvailable'],[],592644609681031168,High,2018-09-17 19:40:02
['Discussion'],[],592640290004971520,High,2018-09-17 19:19:47
['Irrelevant'],[],592590281662332928,Low,2018-09-13 16:30:24
['Sentiment'],[],592591571498872832,Low,2018-09-13 18:02:15
['ServiceAvailable'],[],592593331764363264,High,2018-09-14 16:00:00
['Discussion'],[],592646825712029696,Medium,2018-09-17 19:53:08
['Sentiment'],[],592623033694617600,Low,2018-09-17 17:08:34
['Sentiment'],[],592589487630344192,Low,2018-09-13 15:57:10
['Sentiment'],[],592589319296036864,Low,2018-09-13 15:50:51
"['MultimediaShare', 'Discussion']",[],592592104288694272,Medium,2018-09-13 18:45:44
['Sentiment'],[],592619415151071232,Low,2018-09-17 16:49:07
['Sentiment'],[],592635880000499712,Low,2018-09-17 18:48:17
"['Discussion', 'KnownAlready']",[],592645496704925696,Low,2018-09-17 19:45:10
['Irrelevant'],[],592594475051978752,Low,2018-09-14 17:10:05
"['EmergingThreats', 'MultimediaShare', 'Discussion']",[],592629706756726784,Medium,2018-09-17 17:42:24
"['ServiceAvailable', 'Factoid']",[],592623390118182912,High,2018-09-17 17:09:32
['Discussion'],[],592614176574472192,Low,2018-09-17 16:32:35
['Irrelevant'],[],592618278540840960,Low,2018-09-17 16:40:36
['Discussion'],[],592599172324327424,Medium,2018-09-14 18:23:36
['InformationWanted'],[],592593588204081152,High,2018-09-14 16:15:18
"['Donations', 'ServiceAvailable']",[],592592356605464576,High,2018-09-13 18:56:10
['Donations'],[],592593107595722752,Medium,2018-09-14 15:47:10
"['Donations', 'MultimediaShare']",[],592647284505989120,Medium,2018-09-18 16:07:37
['Discussion'],[],592592874300055552,Low,2018-09-13 19:27:38
['GoodsServices'],[],592637108126375936,Low,2018-09-17 18:56:45
['Sentiment'],[],592590523304529920,Low,2018-09-13 16:47:02
['Discussion'],[],592638740113195008,Low,2018-09-17 19:06:19
['Discussion'],[],592648600359841792,Low,2018-09-18 16:15:19
['Irrelevant'],[],592637199021117440,Low,2018-09-17 18:57:48
['ServiceAvailable'],[],592623103013957632,High,2018-09-17 17:08:43
['Sentiment'],[],592605808992485376,Medium,2018-09-14 18:50:40
['Discussion'],[],592601848810500096,Low,2018-09-14 18:29:37
['Irrelevant'],[],592592617617031168,Low,2018-09-13 19:12:51
['Sentiment'],[],592592167920504832,Low,2018-09-13 18:48:23
"['Factoid', 'Sentiment']",[],592623511102881792,Medium,2018-09-17 17:10:07
['Official'],[],592598302455177216,Medium,2018-09-14 17:55:34
"['MultimediaShare', 'Sentiment']",[],592594028278845440,Low,2018-09-14 16:41:26
['EmergingThreats'],[],592594949054582784,High,2018-09-14 17:41:14
['Sentiment'],[],592590729207160832,Low,2018-09-13 16:59:00
['Sentiment'],[],592652035100540928,Low,2018-09-18 16:39:38
"['EmergingThreats', 'MultimediaShare']",[],592652146132267008,High,2018-09-18 16:40:42
['Sentiment'],[],592593601873444864,Low,2018-09-14 16:16:25
['EmergingThreats'],[],592591481526947840,High,2018-09-13 17:26:04
['Sentiment'],[],592643847601029120,Low,2018-09-17 19:34:48
['ContinuingNews'],[],592591449029509120,Medium,2018-09-13 17:23:47
['SearchAndRescue'],[],592592048101822464,High,2018-09-13 18:32:27
['Irrelevant'],[],591910984182308864,Low,2018-09-13 15:39:12
['Sentiment'],[],592603653694824448,Low,2018-09-14 18:40:50
['Donations'],[],592593216396009472,Medium,2018-09-14 15:52:40
"['EmergingThreats', 'ContinuingNews', 'Discussion']",[],592589902346203136,High,2018-09-13 16:17:09
['Donations'],[],592592048600944640,Medium,2018-09-13 18:32:43
['Sentiment'],[],592590712929013760,Low,2018-09-13 16:58:52
['Sentiment'],[],592590300394094592,Low,2018-09-13 16:31:15
['ServiceAvailable'],[],592644754908786688,High,2018-09-17 19:40:24
['ServiceAvailable'],[],592591151741411328,High,2018-09-13 17:15:00
['Sentiment'],[],592621134207700992,Low,2018-09-17 16:55:45
['Sentiment'],[],592593459548200960,Low,2018-09-14 16:08:21
['Irrelevant'],[],592594471755370496,Low,2018-09-14 17:09:55
['EmergingThreats'],[],592630976565612544,High,2018-09-17 17:50:32
"['Factoid', 'ContinuingNews']",[],592594898546753536,High,2018-09-14 17:38:44
['Irrelevant'],[],592648762641747968,Low,2018-09-18 16:16:01
"['MultimediaShare', 'ContinuingNews']",[],592591762008465408,Medium,2018-09-13 18:15:04
"['ServiceAvailable', 'Factoid']",[],592590675134275584,High,2018-09-13 16:57:54
['Discussion'],[],592648629346664448,Low,2018-09-18 16:15:30
['Sentiment'],[],592633519752417280,Low,2018-09-17 18:35:31
"['MultimediaShare', 'Factoid', 'Discussion']",[],592613183753359360,Medium,2018-09-17 16:28:58
['Sentiment'],[],592635168289992704,Low,2018-09-17 18:44:55
['Sentiment'],[],592624015677751296,Low,2018-09-17 17:13:16
"['Donations', 'Discussion']",[],592635326042087424,Medium,2018-09-17 18:45:29
"['ServiceAvailable', 'Factoid']",[],592609884434145280,High,2018-09-17 16:08:54
['Sentiment'],[],592592471076511744,Low,2018-09-13 18:59:01
['Sentiment'],[],592594869438132224,Low,2018-09-14 17:37:45
['ServiceAvailable'],[],592641105985818624,High,2018-09-17 19:22:30
"['MultimediaShare', 'Discussion']",[],592617255868862464,Low,2018-09-17 16:38:51
['SignificantEventChange'],[],592591797290860544,High,2018-09-13 18:16:28
['Sentiment'],[],592646301390508032,Low,2018-09-17 19:51:41
['MultimediaShare'],[],592593916387459072,High,2018-09-14 16:37:58
['Donations'],[],592649636805877760,Medium,2018-09-18 16:23:20
"['EmergingThreats', 'MultimediaShare']",[],592594027653898240,High,2018-09-14 16:41:36
"['PastNews', 'Discussion', 'KnownAlready']",[],592590871519961088,Medium,2018-09-13 17:03:39
['Sentiment'],[],592594963046600704,Low,2018-09-14 17:42:58
['Discussion'],[],592652119041245184,Medium,2018-09-18 16:39:54
['ServiceAvailable'],[],592636166299471872,High,2018-09-17 18:49:22
['SearchAndRescue'],[],592641808041148416,High,2018-09-17 19:24:23
"['ContinuingNews', 'Discussion']",[],592591841582710784,Medium,2018-09-13 18:22:31
['Irrelevant'],[],592591511151366144,Medium,2018-09-13 17:26:55
['Irrelevant'],[],592612195122290688,Low,2018-09-17 16:24:20
['Sentiment'],[],592639172654931968,Low,2018-09-17 19:09:02
['ContinuingNews'],[],592591122892853248,Medium,2018-09-13 17:13:40
['Discussion'],[],592639216258940928,Low,2018-09-17 19:09:45
['ContinuingNews'],[],592589675069472768,Low,2018-09-13 16:11:41
['Sentiment'],[],592636985941958656,Low,2018-09-17 18:56:07
['Factoid'],[],592594176295895040,Low,2018-09-14 16:53:07
['Sentiment'],[],592643203905511424,Low,2018-09-17 19:29:11
['ServiceAvailable'],[],592593054516674560,High,2018-09-14 15:44:53
['Sentiment'],[],592592365099032576,Low,2018-09-13 18:56:46
['Sentiment'],[],592628864586645504,Low,2018-09-17 17:37:30
"['MultimediaShare', 'ContinuingNews']",[],592593769876344832,Medium,2018-09-14 16:24:31
['Discussion'],[],592593367357267968,Low,2018-09-14 16:01:10
['Discussion'],[],592634792220467200,Medium,2018-09-17 18:42:27
['Sentiment'],[],592593458453413888,Low,2018-09-14 16:08:31
['Sentiment'],[],592592658947842048,Low,2018-09-13 19:15:09
['Irrelevant'],[],592591901729107968,Low,2018-09-13 18:25:12
